features,url,price,address,property_type,description
"
                In the Heart of the Village,300 m from the Lake,Recently Refurbished,Feature Power Shower,Solid Timber Floors Throughout,Ample parking,Fully Equipped Kitchen ,TV ,IPod Connection,Oil Fired Central Heating ,Solid Fuel Stove,Lovely Gardens & Timber Deck,BBQ,Large Storage Shed,Shorter Leases Considered
            ",http://myhome.ie/rentals/brochure/headache-well-house-terryglass-tipperary/3299991,"
        €900 / month
    ","
        Headache Well House, Terryglass, Tipperary
    ","
    ,
    
        ,
    
        ,
    
","
                ""Terryglass is an award winning village located on Lough Derg & the river Shannon"",Completely modernised and recently refurbished detached property conveniently situated in the heart of Terryglass Village (Harbour 300 meters). Benefits from Large secluded mature gardens with spacious timber deck area and beautifully refurbished well proportioned accommodation.,Accommodation: Entrance hall, living room, dining area, kitchen, 3 bedrooms (2 double and 1 bunk bed room) and shower room.
            "
"
                Great location
            ",http://myhome.ie/rentals/brochure/manor-street-waterford-city-waterford/3300743,"
        €55 / week
    ","
        Manor Street, Waterford City, Waterford
    ","
    ,
    
        ,
    
","
                ***STUDENT ACCOMODATION***,Great location in the city centre, this nice 4 bedroom house is within walking distance of the city centre, WIT, bus stops and railway square
            "
,http://myhome.ie/rentals/brochure/bride-street-south-city-centre-dublin-2/3300741,"
        €700 / week
    ","
        Bride Street, South City Centre,   Dublin 2
    ","
    ,
    
        ,
    
","
                ***SHORT LET AVAILABLE***Bright modern apartment offered for short term letting. Located in the heart of Dublin City and is an ideal location for holidaying in the City. Our apartment is only 5 minutes away from Dublins premier shopping district. Grafton Street and St Stephens Green and 5 minutes to The Royal College of Sergeons and Temple Bar. Everything offered by Dublin 's historical culture can also be reached with ease. 3 Arena and Croke Park stadium are a short taxi ride away All this makes our Apartment the perfect location for your visit to Dublin. Bed Linen & Towels provided, internet access, central heating, fully equipped kitchen with washing machine and dryer. Elevator access. MINIMUM STAY 3 NIGHTS ( Not including weekend stays) PLEASE CALL OR EMAIL US FOR RATES.
            "
"
                Great location for WIT students,Double glazed windows throughout
            ",http://myhome.ie/rentals/brochure/willowbrook-templers-hall-waterford-city-waterford/3300635,"
        €900 / month
    ","
        Willowbrook, Templers Hall, Waterford City, Waterford
    ","
    ,
    
        ,
    
","
                ****STUDENT ACCOMMODATION****** ,Perfectly situated 3 bedroom house for rent in this popular student complex. Within a short walking distance of Waterford Institute of Technology and Waterford city centre.
            "
"
                Open fire,Wooden floors,Double glazed windows feature throughout patio,Three rooms available: Single @ 65 per week, Double @ €70 per week, En-suite @ €75 per week,Deposit of €400 per person
            ",http://myhome.ie/rentals/brochure/lime-grove-templers-hall-waterford-city-waterford/3300625,"
        €65 / week
    ","
        Lime Grove, Templers Hall, Waterford City, Waterford
    ","
    ,
    
        ,
    
","
                ****STUDENT ACCOMMODATION******,This well maintained spacious house consists of 3 bedrooms, 2 bathrooms, living room complete with an open fire and wooden floors, kitchen/dinning room and a garden to the rear of the property.This property is ideally situated just a short distance from Waterford Institute of Technology and Waterford city.
            "
"
                Features ,Electricity,Mains Sewerage,Public Water,Wired for Security Alarm,Fire Alarm,Rates: €2, 000 per annum,The Rent is subject to VAT,Ready for immediate occupancy
            ",http://myhome.ie/rentals/brochure/3-shelbourne-st-kenmare-co-kerry/3300894,"
        €1,667
    ","
        3 Shelbourne St, Kenmare, Co Kerry
    ","
    ,
    
        ,
    
        ,
    
","
                Prime Retail Shop in Kenmare town. The Shop has 2 large display windows and 6 meters of street frontage. It has a floor area of 68.3 sq m (736 sq ft).,There is a toilet and small store room. There are wooden floor and spot lights throughout.,The shop is beside Cleo Craft and Knitwears Shop, Mango Crafts, Kenmare Post Office, and Finnegans Toy Store.
            "
,http://myhome.ie/rentals/brochure/apartment-4-no-51-main-street-ballybay-monaghan/3301359,"
        €340 / month
    ","
        Apartment 4, No.51 Main Street, Ballybay, Monaghan
    ","
    ,
    
        ,
    
","
                Superbly presented one bedroom apartment available to rent just off the Main Street in Ballybay.  Call today to arrange a viewing.,This is a one apartment and not suitable for families.
            "
"
                Newly refurbished,Includes internet,Double glazed windows
            ",http://myhome.ie/rentals/brochure/morrisons-road-waterford-city-waterford/3300649,"
        €55 / week
    ","
        Morrisons Road, Waterford City, Waterford
    ","
    ,
    
        ,
    
","
                Nice 3-bedroom terraced house with three double bedrooms. ,Located just minutes from the city centre. Within walking distance of WIT College Street Campus, Waterford College of Further Education and WIT Cork Road Campus
            "
,http://myhome.ie/rentals/brochure/drumline-newmarket-on-fergus-clare/3278057,"
        €1,800 / month
    ","
        Drumline, Newmarket on Fergus, Clare
    ","
    ,
    
        ,
    
",
,http://myhome.ie/rentals/brochure/juliet-square-st-edmunds-st-edmunds-dublin/3278108,"
        €1,400 / month
    ","
        Juliet Square, St Edmunds, St Edmunds, Dublin
    ","
    ,
    
        ,
    
","
                Hooke and MacDonald are proud to present this beautiful 2 bedroom property in excellent condition.,Accommodation briefly comprises large living room with kitchen / dining area. Two Double Bedrooms (master ensuite), hot-press / storage and a main bathroom.,Situated just minutes from the Liffey Valley Centre this stylish apartment will suit professionals as well as families. The property comes fully furnished to a very high standard, utilising light and space. All the fixtures and fittings are modern, contemporary and of excellent quality. ,St. Edmunds is beautifully landscaped and well maintained whilst also being very secure and a popular living destination. St Edmunds is located moments from the junction of the M50 and N4, providing quick and easy access to locations around Dublin and beyond. The city centre is approximatly 9km away and airport accessible along the M50. Buses depart to and from the city centre approximately every five minutes, and are given priority during rush hour along the routes extensive bus corridors. Buses connect with Heustons Station, allowing further connections with the LUAS red line or local and national train services.,The Liffey Valley area is transforming into an exciting hub for young professionals with the recent development of new hotels and bars, Dublin's premier health and fitness centres, and the country's landmark shopping and entertainment experience, the Liffey Valley Shopping Centre. Modern business parks are also on the rise, with many companies choosing the area as a smart new address within easy reach of the city centre. Viewing highly recommended to truly appreciate St Edmunds, the location and the apartment. ,Please note the photos are not specific to this apartment but finished to similar standard. Work references essential. Viewing highly recommended.
            "
,http://myhome.ie/rentals/brochure/osberstown-mews-osberstown-house-sallins-kildare/3277338,"
        €1,850 / month
    ","
        Osberstown Mews, Osberstown House, Sallins, Kildare
    ","
    ,
    
        ,
    
","
                A beautiful property set in the grounds of Osberstown House giving the tenant access to lovely landscaped gardens and great privacy. A house with great character and open fires it consists of large living space on the ground floor with kitchen and living areas. Upstairs are two good sized bedrooms and two loft / mezzanine bedrooms. This home would suit a corporate client who is looking for quick access to the N4 whilst living in the country.
            "
,http://myhome.ie/rentals/brochure/garden-courtyard-apartments-straffan-kildare/3275890,"
        €1,400 / month
    ","
        Garden Courtyard Apartments, Straffan, Kildare
    ","
    ,
    
        ,
    
","
                A well presented two bedroom apartment located in the courtyard and adjacent to the K Club Hotel and Spa. The accommodation offers a potential tenant all the luxuries of modern living and with the facilities of the K Club on your doorstep. The picturesque village of Straffan is only a short walk and access to Dublin is made convenient by the close proximity of both the M4 & N7 as well as both bus and rail links  being close by.The accommodation briefly includes an entrance hall. kitchen, living room, 2 bedrooms and bathroom. Viewing is highly recommended and can be arranged by prior appointment.,The rental of the apartment is inclusive of the elecricity cost.
            "
,http://myhome.ie/rentals/brochure/shrewsbury-park-ballsbridge-dublin-4/2527430,"
        €2,995 / month
    ","
        Shrewsbury Park , Ballsbridge,   Dublin 4
    ","
    ,
    
        ,
    
        ,
    
","
                Designer semi detached house, twelve  month lease  Close to UCD and Vincent's Hospital can be used as two twins and one double to sleep 5 in this gated development wooden floors throughout ,living room with leather couches , kitchen with dishwasher , large fridge and freezer , two bathrooms one ensuite plus downstairs guest toilet  , separate dining room ,near DART station  must be seen
            "
,http://myhome.ie/rentals/brochure/ballyconry-lisselton-kerry/3278612,"
        €700 / month
    ","
        Ballyconry, Lisselton, Kerry
    ","
    ,
    
        ,
    
","
                Gary O' Driscoll & Co. Ltd (PSR Licence No: 003250-005330) are delighted to offer this stunningly decorated 3 bedroom detached property to the market boasting spacious accommodation, quality fittings & privacy at a premium . ,Accommodation briefly: ,Entrance Hallway,,Sitting room  room, ,Kitchen/dining area,,Utility, ,Guest Bathroom,,Main bathroom ,3 bedrooms ,(1 en-suite & walk in wardrobe) ,Do not miss the chance to view it!!, Give us a call at the office in Ivy Terrace to arrange a viewing on (066) 710 4038
            "
,http://myhome.ie/rentals/brochure/millicent-sallins-co-kildare/3277883,"
        €1,520 / month
    ","
        Millicent, Sallins, Co Kildare
    ","
    ,
    
        ,
    
        ,
    
","
                A beautiful detached family home in a private and tranquil location with gated entrance.  This  family home comprisies of entrance hall, sitting room with open fireplace, lounge with open fireplace, kitchen/dining area, utility with guest w.c., four double bedrooms (master ensuite), family bathroom and hotpress.  The property also benefits from underflooor heating (oil), detached garage/storage room, alarm, ample parking and electronic gates.,The property is located in a fabulous rustic setting close to the River Liffey and convenient to Sallins, Naas, Clane and the M7 Motorway ensuring all amenities are easily accessible and Dublin City and its surrounding areas are all within easy striking distance.
            "
,http://myhome.ie/rentals/brochure/shrewsbury-park-dublin4-ballsbridge-dublin-4/299053,"
        €2,995 / month
    ","
        Shrewsbury Park, Dublin4, Ballsbridge,   Dublin 4
    ","
    ,
    
        ,
    
        ,
    
","
                Three bed ,or can be two twins and one double to sleep 5 , close to UCD and ST Vincent's hospital  exclusive  gated development, living room with leather couches , seperate dining room , kitchen with dishwasher , large fridge freezer , etc, secluded back garden , three double bedrooms with two bathrooms , guest toilet downstairs , parking, internet and cable TV, close to DART station
            "
"
                * Bright,Spacious 4 Bed End Of Terrace Family Home,* 4 Double Bedrooms,* Highly Convenient Location,* Close To Public Transport,* Gas Fired Central Heating,* Double Glazed,* Off Street Parking
            ",http://myhome.ie/rentals/brochure/1-charleville-off-church-road-ballybrack-county-dublin/3280201,"
        €1,650 / month
    ","
        1 Charleville, off Church Road, Ballybrack,   County Dublin
    ","
    ,
    
        ,
    
        ,
    
","
                ** PLEASE NOTE THIS PROPERTY IS NOT AVAILABLE UNTIL 21ST SEPTEMBER - PLEASE REGISTER YOUR INTEREST BY EMAIL**,This is a very fine 4 bed end of terrace family home, offer bright spacious accommodation throughout with a sunny secluded garden to the rear and off street parking for 1 or 2 cars.,Internally the property briefly comprises of a spacious entrance hall with downstairs cloakroom, kitchen/ breakfast room, large living / dining room. Upstairs there are 4 bedrooms, main with a shower en-suite, attic room/ study and family bathroom. G.F.C.H and double glazed.,The location is ideal being within the heart of Ballybrack village close to local shops and within easy access to Dunnes Stores Ballybrack. The property is well served by public transport with a range of bus routes all close by, Killiney DART station is within a 10-15 minute walk and Cherrywood Luas Stop and access to the M.50 are all with in a short distance away.,Viewing is highly recommended.
            "
"
                Double glazed windows throughout, gas fired central heating, large garden to the rear not overlooked and some stunning sea views from the bedrooms.
            ",http://myhome.ie/rentals/brochure/ard-haven-tramore-waterford/3279859,"
        €1,000 / month
    ","
        Ard Haven, Tramore, Waterford
    ","
    ,
    
        ,
    
","
                Manor Properties are delighted to present this stunning home to the lettings market. The property is in turn key condition throughout and has been very well maintained. Ideally located in the heart of Tramore with a wealth of amenities on your doorstep.
            "
"
                Parking,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Garden / Patio / Balcony
            ",http://myhome.ie/rentals/brochure/the-pines-herbert-park-lane-apartments-ballsbridge-dublin-4/2837951,"
        €2,250 / month
    ","
        The Pines, Herbert Park Lane Apartments, Ballsbridge,   Dublin 4
    ","
    ,
    
        ,
    
        ,
    
","
                **WELL WORTH VIEWING *** This is superb two bed  apt which is situated in this mature development with aspect overlooking RDS. Tastefully decorated throughout and only minutes away from Ballsbridge Village and approx 10 mins to the City Centre and easy access to the Rock Road, & Stillorgan dual Carriageway. Good public transport with Dart and hosts an of good quality restaurant and Cafes and bars. Excellent facilities with Gym close by and the Added bonus of the park at your fingertips. Accom comprises of large living room with dining area and good size balcony. Separate kitchen with all mod cons. Main bathroom with shower. Two good size double bedroom with built in wardrobe and ensuite . Parking.
            "
,http://myhome.ie/rentals/brochure/fernhurst-windgate-road-howth-co-dublin/3280433,"
        €3,100 / month
    ","
        Fernhurst, Windgate Road, Howth, Co Dublin
    ","
    ,
    
        ,
    
        ,
    
","
                A lovely split level detached house with beautiful sea views across set in secluded private gardens. The property itself is located at Windgate Road at Howth Summit. This elevated site (approx 160m) is nicely nestled in a sylvan setting, and is accessed by two gated driveways, ensuring privacy, security and peace. The site has a elevated sea views to the East. Easy access to The amenities of Howth village, yet still only 20 minutes to Dublin airport, the city centre and M50/M1. Available immediately. Partly furnished. This 4/5 bedroom home is an architect designed split level family home with extensive gardens, terraces and patio area surrounding the property. There is a garage with bar and games room at a lower level. The stunning dining kitchen / living area with mezzanine balcony and double height ceiling forms the focal counterpoint of the home. There is a separate formal dining room, and further formal sitting room. The mature gardens is made up of numerous sections cleverly designed to flow into each other. Ideally suited to a professional family.
            "
"
                Walkway leading directly to mountain.
            ",http://myhome.ie/rentals/brochure/ballymunduff-road-stepaside-dublin-18/2064316,"
        €1,400 / month
    ","
        Ballymunduff Road,, Stepaside,   Dublin 18
    ","
    ,
    
        ,
    
        ,
    
","
                This is a unique fully furnished apartment set in rustic sylvan settings enjoying scenic views over Dublin Bay from Dun Laoghaire to Howth. With Stepaside and Glencullen being a mere 3 minutes drive and still easy access to Dundrum Sandyford Industrial Estates and Tallaght only being ten minutes away by car. Surrounded by superb country walks and the Golf course is at your doorstep. Spacious and Sunny this apt accommodation offers Large open plan Living Room with one wall window allow to take in the breath taking views. Good size kitchen with all mod cons. Two double bedroom and one with large ensuite. One main bathroom with shower. Parking for two good Storage.OFH. Suit professionals.Cars a requirement.
            "
,http://myhome.ie/rentals/brochure/bushy-park-house-terenure-dublin/1272198,"
        €3,500 / month
    ","
        Bushy Park House, Terenure, Dublin
    ","
    ,
    
        ,
    
        ,
    
","
                ***MUST BE VIEWED****This is truly a superb large five bed townhouse which has been built and decorated to the highest standard.  Elegant superior small development overlooking Bushy Park  Easy access to the M50 and Terenure and Rathgar Village.  Accom comprises of  Large living  room with Dinning Room. Large kitchen with all mod cons and b/fast area.  Large 2nd Reception Room /Family  Room. Utility room.  Four double bedrooms and two with ensuite.  Good size single room.   Main bathroom with shower wc downstairs. Landscape gardens
            "
"
                Views of the river Shannon and Marina, Just off the N4, 1,5 HRS To Dublin, 10 min to Longford and Carrick
            ",http://myhome.ie/rentals/brochure/shannon-cove-dromod-leitrim/3311125,"
        €750 / month
    ","
        Shannon  Cove, Dromod, Leitrim
    ","
    ,
    
        ,
    
        ,
    
","
                We offer this stunning house with fantastic views of the river Shannon and marina in Shannon Cove in Dromod
            "
,http://myhome.ie/rentals/brochure/herber-park-apartments-ballsbridge-dublin-4/3146662,"
        €550 / week
    ","
        Herber Park Apartments, Ballsbridge,   Dublin 4
    ","
    ,
    
        ,
    
","
                Corporate bright apartment, fully furnished apartment available for short term rental. Apartment is ideally located in the heart of Ballsbridge close to the RDS, the Herbert Park, Four Seasons hotels also many Pubs, restaurants, and embassies. Tv, internet, bed linen provided. All utilities included in rent.
            "
,http://myhome.ie/rentals/brochure/lisin-strawberry-hill-sundays-well-cork/3312181,"
        €1,400 / month
    ","
        Lisin, Strawberry Hill,  Sundays Well, Cork
    ","
    ,
    
        ,
    
","
                Sherry FitzGerald Lettings are very pleased to offer this stylish and exclusive apartment to the rental market. Located in leafy Sundays Well, this special complex is private, secure and elite.,Our apartment is well finished and furnished and discerning eyes will appreciated its quality and size. Two double bedrooms, two bathrooms, a stylish kitchen, utility room, comfortable living and dining areas make up the accommodation of this handsome home.,Call or e-mail us now to arrange a viewing. ,BER: Commissioned,Directions:,Make your way onto the Sundays Well Road and watch for Annie''s Bar & Restaurant at the junction of Sundays Well Road and Convent Avenue. Turn onto Convent Avenue and proceed uphill past the old Cork City Goal(Museum). Watch for the entrance to the complex on the right hand side, just at the t-junction.
            "
,http://myhome.ie/rentals/brochure/cahergal-union-hall-cork-west/3311420,"
        €900 / month
    ","
        Cahergal, Union Hall,   Cork West
    ","
    ,
    
        ,
    
        ,
    
","
                Superb newly built detached residence.,Located approx. 3km from Union Hall village and within short distance of the beaches at Squince and Blind Harbour.,This four bedroom property is fully furnished to a high specification and is very well laid out.,Accommodation;,Fully fitted kitchen / dining room with stove, large sun room off, sitting room with stove, wet room, study and utility room with washing machine and dryer.,Upstairs there are two king double bedrooms both with en-suite facilities  and two double bedrooms one with shower en-suite.  There is also a full bathroom with jacuzzi bath.,Available for long term rental.
            "
,http://myhome.ie/rentals/brochure/auburn-villas-rathgar-dublin-6/3310745,"
        €3,700 / month
    ","
        Auburn Villas, Rathgar, Dublin 6
    ","
    ,
    
        ,
    
","
                Dublin Letting bring to the market this fantastic opportunity to rent this designer built detached house on a quarter of an acre garden near the prestigious village of Rathgar in Dublin 6,4B Auburn Villas, Rathgar, Dublin 6 built around an indoor garden with three patios, mature trees and a pond. It is rare for a property like this to come to the rental market,Located at the end of a quiet cul-de-sac ,Outside there is ample car parking for 5 cars ,Accommodation includes well-proportioned and spacious rooms.consisting of a drawing room, dining room and 5 bedrooms all on the same level. The kitchen comprises of extensive cupboards and storage units with plenty of work space, the room is flooded with natural light from the indoor garden nerous bedrooms ,Located off Rathgar Road, one of Dublin 6 most sought after areas (midway between the villages of Rathgar and Rathmines), the location couldn't be more convenient. With a huge selection of restaurants, speciality food shops, boutiques, pubs and restaurants the area is also easily accessible by public transport links to city and the M50 is within easy reach. Local schools include Rathgar Junior and National, St. Mary's, St. Louis, High School, Alexandra College and Gonzaga. ,Call now for a viewing time.        ,
            "
,http://myhome.ie/rentals/brochure/mespil-estate-sussex-road-donnybrook-dublin-4/299886,"
        €2,295 / month
    ","
        Mespil Estate,Sussex road, Donnybrook,   Dublin 4
    ","
    ,
    
        ,
    
        ,
    
","
                bright three bed apartment beside Burlington Hotel/ Double Tree  , rent includes car space , service and refuse charges ,  living room with  two couches , seperate kitchen , washer dryer fridge , microwave , wooden floors throughout , bathroom with  bath and electric shower ,see this and other property on our facebook page maypole property  ,indoor swimming pool on complex ,ten minutes by  bus  to UCD ,eight  minutes walk st stephens green , near luas , bus stop and taxi rank outside
            "
,http://myhome.ie/rentals/brochure/cows-lane-south-city-centre-dublin-2/3126735,"
        €495 / week
    ","
        Cows Lane, South City Centre,   Dublin 2
    ","
    ,
    
        ,
    
","
                Large, bright, 1 bedroom apartment in Old Temple Bar, Dublin's Cultural Quarter. Located in a quiet apt complex away from the busy streets of Temple bar but within comfortable walking distance. Apartment comprises of fully equipped kitchen and living room. The apartment provides central heating and double glazed windows. All utilities included in rent, electricity, heating, TV, high speed wifi internet access, linen & towels. This central location means it is perfect for taking advantage of all Dublin has to offer.
            "
,http://myhome.ie/rentals/brochure/new-high-quality-1100-sq-ft-chamley-gardens-malahide-co-dublin/3313251,"
        €2,000 / month
    ","
        New High Quality 1100 sq ft, Chamley Gardens, Malahide, Co. Dublin
    ","
    ,
    
        ,
    
","
                Chamley Gardens,Exceptional 3 bedroom ground floor units with balconies to the rear and gardens to the front. , Brophy Estates is delighted to offer and showcase to the market, these exceptional apartments to let. Chamley Gardens is a brand new Luxury development of exceptionally high quality in a superb location. , These high quality apartments are beautifully finished and boast features such as dual aspect to all of the units (east facing bedrooms and west facing living rooms). Each apartment benefits from its own private west facing balcony and overlooks beautifully landscaped gardens. , Chamley Gardens consists of 28 individual units, with 4 separate lobby entrances. Each lobby affords lift access from basement carpark and ground level. In addition, all units have 2 designated car spaces, these are located in a secure, gated underground carpark, together with a private underground storage room for each unit. All apartments are fully insulated, which provide comfortable and quiet environments. All units have zoned heating and high efficiency gas boilers, all showers are pumped / power showers. , Chamley Gardens offers Exceptionally comfortable living for all. The development has been meticulously designed offering, 4 Spacious and unique interior styles, including Classical, Traditional, Contemporary, Modern and Urban. All of the apartments have been finished with the highest quality furniture and fittings, from solid timber flooring, polished tiles, bespoke kitchen units, superb bathroom fittings. Each Apartment boasts a master En-Suite all finished to the highest standard. , Location, Chamley Gardens is ideally located, close to Malahide village and a number of highly sought after amenities and facilities. There is a multitude of recreational facilities situated in close proximity of this development including, Malahide Castle, International cricket grounds, Malahide and Portmarnock Golf grounds and the picturesque marina. , The location is extremely accessible with an excellent transport infrastructure servicing the locality. The 32x, 41 and 102 Dublin bus route passes by the Swords road. Dublin International Airport, M50 and M1 can be easily accessed from Chamley Gardens., Features, Exclusive and Elegant 2 and 3 Bed Apartments , Luxuriously furnished and appointed, Dual Aspect to all apartments, Fully equipped kitchens with Dishwasher, Fridge Freezers, Washing machines and Dryers, Microwaves, Each room has independently zoned heating, All Master bedroom En-Suite,Secure parking in Basement, Large storage areas within Apartments and secure separate storage areas in Basement, Generous private balconies to living rooms and bedroom, Gas heating system to each apartment , Impeccably designed apartments with Classical, Traditional, Modern, Urban and Contemporary Designs to choose from, Convenient Location to M1, Malahide and Bus Stops, Lift access from Basement to all apartment common areas, Mature landscaped Development,Facilities:,-Parking,-Central Heating,-Cable Television, -Washing Machine,-Dishwasher,-Microwave, -            ,                                        BER Rating: B3                                            ,                        ,
            "
,http://myhome.ie/rentals/brochure/linden-court-grove-avenue-blackrock-south-county-dublin/1570283,"
        €1,295 / month
    ","
        Linden Court, Grove Avenue, Blackrock,   South County Dublin
    ","
    ,
    
        ,
    
        ,
    
","
                LARGE TYPE , 2 nd  FLOOR ,  Designer spacious apartment with wooden floors throughout ,two sofas, balcony , teak kitchen , fitted teak wardrobes , dishwasher , electric oven , large  fridge freezer, includes service charge , cctv cameras, caretakers ,secure gated underground parking space see this and other property on our facebook page maypole property tel 0868882121  , one double bedroom ,close to main bus routes , quiet  safe development
            "
,http://myhome.ie/rentals/brochure/the-pines-herbert-park-lane-ballsbridge-dublin-4/3309006,"
        €3,500 / month
    ","
        the Pines,Herbert Park Lane, Ballsbridge,   Dublin 4
    ","
    ,
    
        ,
    
","
                The stunning 7th floor penthouse with dual ascpect in this exclusive and well sought after development in Ballsbridge. The apartment consists of two bedrooms, 1 bathroom, a sitting/dining room with the balcony with wonderful views of the green surrounding areas. There is a separate kitchen well-equipped. The property is situated in the heart of all the great places to go and spend brilliant free time and moreover it is quite close to the city centre. Viewing by appointments highly recommended. References required.
            "
,http://myhome.ie/rentals/brochure/garryhankard-upton-bandon-cork/3309045,"
        €950 / month
    ","
        Garryhankard, Upton, Bandon, Cork
    ","
    ,
    
        ,
    
","
                Detached farmhouse in a highly desirable area available for rent. Accommodation consists of 4 beds, 3 reception rooms, kitchen/breakfast area, 3 bathrooms. The property is part furnished.,The property is a short distance from Brinny MSD and Crossbarry. Bandon is a 5-10 minute drive while Cork city and airport are a 20 minute drive. No pets please.
            "
"
                Recently refurbished,2 bathrooms, main bedroom en-suite,Duel Central Heating,Large garden shed to rear,Quiet rural area,First time letting
            ",http://myhome.ie/rentals/brochure/casaview-brallistown-nurney-road-kildare-kildare/3309241,"
        €1,300 / month
    ","
        'Casaview', Brallistown, Nurney Road, Kildare, Kildare
    ","
    ,
    
        ,
    
","
                FIRST TIME LETTING OF THIS IMPRESSIVE 4/5 BEDROOM BUNGALOW RESIDENCE.  IT OFFERS BRIGHT AND SPACIOUS ACCOMMODATION WITH MANY FINE QUALITY FEATURES RECENTLY REFURBISHED TO HIGH STANDARD WITH 2 BATHROOMS, MAIN BEDROOM ENSUITE, DUAL CENTRAL HEATING, GARDENS TO FRONT AND REAR WITH LARGE GARDEN SHED .  LOCATED IN QUIET RURAL AREA ,THIS PROPERTY IS BEING LET UNFURNISHED
            "
,http://myhome.ie/rentals/brochure/ref-638-ballybrack-waterville-kerry/3309295,"
        €620 / month
    ","
        Ref 638 - Ballybrack, Waterville, Kerry
    ","
    ,
    
        ,
    
","
                Traditionally styled, three bedroom dormer bungalow being offered for long term let. ,Situated on the edge of Waterville Village over looking Skellig Bay Golf Course with views of Ballinskelligs Bay. Accommodatation comprises of kitchen/dining, utility room, living room with feature stone fireplace, cloakroom/w.c. & three bedrooms all en-suite. ,Traditional timber windows and electric heating. ,Walking distance to Waterville Village & Promenade.
            "
,http://myhome.ie/rentals/brochure/3-bruach-na-sionna-o-briensbridge-clare/3315964,"
        €700 / month
    ","
        3. Bruach Na Sionna, O Briensbridge, Clare
    ","
    ,
    
        ,
    
","
                Clare Tipp Properties (www.ClareTipp.ie) are delighted to let this beautiful two storey town-house, situated centrally in O’Briensbridge, Co. Clare. O’Briensbridge is a picturesque village situated on the River Shannon and is famous for the scenic walkways, fishing and other activities while being in close proximity to the M.7 Limerick/Dublin main road and only 5 minutes from Killaloe/Ballina. It has an attractive main thoroughfare, with the historic bridge and the River Shannon forming a scenic backdrop to the village. Bruach Na Sionna complex consists of a ‘L’ shape design of only 8 townhouses and 12 apartments maximising the  spectacular views and the added bonus of living in the peace and quiet of a small exclusive development. The property is very valuable both as an investment point of view and also as a worthwhile asset. There is a patio area which has been beautiful finished on the ground floor and a large balcony which maximises the views and delights of the Shannon upstairs.
            "
"
                * House Alarm,* 3 Double Beds,* Energy Rating: E2,* Fully Furnished,* Communal Parking,* Storage Heating,* Balcony
            ",http://myhome.ie/rentals/brochure/westfield-sion-hill-blackrock-co-dublin/3309089,"
        €2,500 / month
    ","
        Westfield, Sion Hill, Blackrock, Co. Dublin
    ","
    ,
    
        ,
    
        ,
    
","
                Wyse are proud  to present this fine two storey semi detached three bedroomed townhouse in an enviable position in the immaculately presented Westfield/Sion Hill Estate situated opposite Blackrock Park. The property overlooks the manicured estate gardens to the front and the treelined convent to the back. The townhouse has been tastefully decorated and furnished to complement the original attractive neo Georgian design.The accommodation, in brief, consists three double bedrooms with the master ensuite upstairs and downstairs a kitchen and generous living/dining room leading to a west facing private balcony.  No. 47 is accessed by handsome exterior steps to an own door entrance thar opens to an attractive hall.  The kitchen is a galley style with room for breakfast dining overlooking the common gardens. The dining/living room is bright and spacious boasting a private balcony facing west facing the trees that surround the Sion Hill convent. The upstairs accommodation includes three good size double bedrooms, with master ensuite, main bathroom with full suite, built in wardrobe space. The property also includes secure off street communal parking and a useful storage space under the entrance, ideal for bicycle storage. Presented in stunning condition throughout viewing is a must Location is second to none, The thriving village of Blackrock is a two minute walk away with it''s superb selection of cafes, boutiques, specialist shops, Blackrock Shopping Centre, bars and restaurants. An array of junior, senior and third level schools and colleges are within easy reach including Sion Hill Froebel College, The Smurfit Business School and UCD. Blackrock, St Andrew''s and St. Michael''s Colleges are very accessible and the Blackrock Clinic is five minutes away. The property is well serviced by public transport - the Rock Road QBC and the DART within a short stroll offer easy access to the City Centre, Trinity College, and Dublin''s many other amenities and attractions.
            "
,http://myhome.ie/rentals/brochure/the-coach-house-duncormick-wexford/3309327,"
        €700 / month
    ","
        The Coach House, Duncormick, Wexford
    ","
    ,
    
        ,
    
","
                The Coach House is located on the grounds of The Old Rectory Manor in Duncormick which is within walking distance of the local Village, approx. 9kms from Kilmore Quay and approx. 24kms from Wexford Town Centre. ,The property comprises open plan kitchen/living area, 3 bedrooms and bathroom.  It has been renovated in recent years and is presented in good order throughout.  Services include dual heating (oil & solid fuel), mains water & sewerage.,The property is unfurnished.  Pets not allowed.
            "
